Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Area_under_ROC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_area_under_ROC,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Summary,measureTreeSize,measureNumLeaves,measureNumRules,measureOutOfBagError,measureAttributesUsed,measureNumIterations
breast-cancer,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 5',-217733168393644444,2.01911272347E7,257.0,29.0,23.0,6.0,0.0,79.3103448275862,20.689655172413794,0.0,0.32558139534883745,0.34795356133645494,0.40518641391304583,84.68824365515597,90.51149839500889,24.707458963264767,21.35216247114661,3.355296492118157,0.851981343560854,0.7362814645222969,0.11569987903855714,4.465031082686221,0.15396658905814556,505.8366366633418,1.0,21.0,0.75,6.0,0.25,2.0,0.0,0.0,0.7777777777777778,1.0,0.8750000000000001,0.6696428571428571,0.7931034482758621,0.5431034482758621,0.45689655172413796,0.20689655172413793,0.8390804597701149,0.7931034482758621,0.7439655172413794,0.669642857142857,0.0,0.001,0.0,0.0,6109.0,31757.0,6905.0,'Number of leaves: 4\nSize of the tree: 6\n',6.0,4.0,4.0,?,?,?
breast-cancer,2,2,weka.classifiers.trees.J48,'-C 0.25 -M 5',-217733168393644444,2.01911272347E7,257.0,29.0,25.0,4.0,0.0,86.20689655172414,13.793103448275861,0.0,0.6329113924050631,0.33033510016358975,0.3700168402999611,78.07259085364139,79.94854926279278,25.93046867268203,18.93630420842757,6.99416446425446,0.8941540921614493,0.6529760071871575,0.24117808497429175,7.30387803703719,0.25185786334611,831.9127736094582,1.0,20.0,0.4444444444444444,4.0,0.5555555555555556,5.0,0.0,0.0,0.8333333333333334,1.0,0.9090909090909091,0.7777777777777778,0.8620689655172413,0.30651340996168586,0.6934865900383141,0.13793103448275862,0.8850574712643678,0.8620689655172413,0.8486341244961935,0.7777777777777778,0.001,0.0,0.0,0.0,6109.0,31757.0,6905.0,'Number of leaves: 4\nSize of the tree: 6\n',6.0,4.0,4.0,?,?,?
breast-cancer,2,3,weka.classifiers.trees.J48,'-C 0.25 -M 5',-217733168393644444,2.01911272347E7,257.0,29.0,20.0,9.0,0.0,68.96551724137932,31.03448275862069,0.0,0.0,0.40093448064621917,0.4680248005499738,94.75830346550514,101.12486716184274,25.93046867268203,26.470813398669907,-0.5403447259878789,0.8941540921614493,0.912786668919652,-0.01863257675820272,1.2576633663829067,0.043367702289065745,143.24804084749326,1.0,20.0,1.0,9.0,0.0,0.0,0.0,0.0,0.6896551724137931,1.0,0.8163265306122449,0.5111111111111111,0.6896551724137931,0.6896551724137931,0.3103448275862069,0.3103448275862069,0.47562425683709875,0.6896551724137931,0.5629838142153413,0.5111111111111111,0.001,0.0,0.0,0.0,6109.0,31757.0,6905.0,'Number of leaves: 4\nSize of the tree: 6\n',6.0,4.0,4.0,?,?,?
breast-cancer,2,4,weka.classifiers.trees.J48,'-C 0.25 -M 5',-217733168393644444,2.01911272347E7,257.0,29.0,21.0,8.0,0.0,72.41379310344827,27.586206896551722,0.0,0.21088435374149653,0.3818533506963036,0.44805278295866763,90.24860028571231,96.80956672583696,25.93046867268203,24.75804991591501,1.1724187567670192,0.8941540921614493,0.8537258591694831,0.04042823299196618,2.78049213524171,0.09587903914626586,316.698459708472,0.95,19.0,0.7777777777777778,7.0,0.2222222222222222,2.0,0.05,1.0,0.7307692307692307,0.95,0.8260869565217392,0.6,0.7241379310344828,0.5519157088122606,0.44808429118773946,0.27586206896551724,0.7108753315649866,0.7241379310344828,0.6731634182908547,0.6,0.001,0.0,0.0,0.0,6109.0,31757.0,6905.0,'Number of leaves: 4\nSize of the tree: 6\n',6.0,4.0,4.0,?,?,?
breast-cancer,2,5,weka.classifiers.trees.J48,'-C 0.25 -M 5',-217733168393644444,2.01911272347E7,257.0,29.0,19.0,10.0,0.0,65.51724137931035,34.48275862068966,0.0,0.01360544217687058,0.42255616914398886,0.49791623133132046,99.86845142984585,107.5834286814226,25.93046867268203,29.38250483852956,-3.452036165847531,0.8941540921614493,1.0131898220182607,-0.1190357298568114,-0.5902887910453039,-0.020354785898113927,-67.2339793872399,0.9,18.0,0.8888888888888888,8.0,0.1111111111111111,1.0,0.1,2.0,0.6923076923076923,0.9,0.7826086956521738,0.46111111111111114,0.6551724137931034,0.6440613026819924,0.3559386973180077,0.3448275862068966,0.5809018567639257,0.6551724137931034,0.5914542728635681,0.46111111111111114,0.001,0.0,0.0,0.0,6109.0,31757.0,6905.0,'Number of leaves: 4\nSize of the tree: 6\n',6.0,4.0,4.0,?,?,?
breast-cancer,2,6,weka.classifiers.trees.J48,'-C 0.25 -M 5',-217733168393644444,2.01911272347E7,257.0,29.0,20.0,9.0,0.0,68.96551724137932,31.03448275862069,0.0,0.0777385159010601,0.39560217488362387,0.4671632920390643,93.49804705949968,100.93872332155448,25.93046867268203,26.377014190774176,-0.4465455180921474,0.8941540921614493,0.9095522134749716,-0.015398121313522323,1.5620572001818203,0.05386404138558001,177.91854290970906,0.95,19.0,0.8888888888888888,8.0,0.1111111111111111,1.0,0.05,1.0,0.7037037037037037,0.95,0.8085106382978724,0.5833333333333334,0.6896551724137931,0.628544061302682,0.371455938697318,0.3103448275862069,0.640485312899106,0.6896551724137931,0.6140198759421064,0.5833333333333334,0.0,0.0,0.0,0.0,6109.0,31757.0,6905.0,'Number of leaves: 4\nSize of the tree: 6\n',6.0,4.0,4.0,?,?,?
breast-cancer,2,7,weka.classifiers.trees.J48,'-C 0.25 -M 5',-217733168393644444,2.01911272347E7,258.0,28.0,22.0,6.0,0.0,78.57142857142857,21.428571428571427,0.0,0.3225806451612903,0.3577601836021599,0.41328048324548633,86.35590638672828,91.43782727893318,24.187188209924816,21.217402153721686,2.96978605620313,0.8638281503544577,0.7577643626329174,0.10606378772154036,3.731105963389776,0.1332537844067777,423.3682620173179,1.0,20.0,0.75,6.0,0.25,2.0,0.0,0.0,0.7692307692307693,1.0,0.8695652173913044,0.65625,0.7857142857142857,0.5357142857142857,0.4642857142857143,0.21428571428571427,0.8351648351648352,0.7857142857142857,0.7354037267080746,0.65625,0.0,0.0,0.0,0.0,6109.0,31866.0,6796.0,'Number of leaves: 4\nSize of the tree: 6\n',6.0,4.0,4.0,?,?,?
breast-cancer,2,8,weka.classifiers.trees.J48,'-C 0.25 -M 5',-217733168393644444,2.01911272347E7,258.0,28.0,20.0,8.0,0.0,71.42857142857143,28.571428571428573,0.0,0.1764705882352943,0.38806035234606673,0.4758382458435733,93.66974022146444,105.27865965136982,24.187188209924816,26.75915943557356,-2.5719712256487455,0.8638281503544577,0.9556842655561987,-0.0918561152017409,1.1427262592815137,0.040811652117196916,129.6650470666424,0.9,18.0,0.75,6.0,0.25,2.0,0.1,2.0,0.75,0.9,0.8181818181818182,0.525,0.7142857142857143,0.5642857142857143,0.43571428571428567,0.2857142857142857,0.6785714285714286,0.7142857142857143,0.6796536796536797,0.525,0.001,0.0,0.0,0.0,8690.0,31866.0,6796.0,'Number of leaves: 17\nSize of the tree: 21\n',21.0,17.0,17.0,?,?,?
breast-cancer,2,9,weka.classifiers.trees.J48,'-C 0.25 -M 5',-217733168393644444,2.01911272347E7,258.0,28.0,24.0,4.0,0.0,85.71428571428571,14.285714285714286,0.0,0.6216216216216215,0.3289654673119088,0.3732677860868775,79.40545762701251,82.58506446995267,24.187188209924816,18.47421656990106,5.712971640023756,0.8638281503544577,0.6597934489250379,0.20403470142941987,6.116907215737511,0.2184609719906254,694.0849180534096,0.95,19.0,0.375,3.0,0.625,5.0,0.05,1.0,0.8636363636363636,0.95,0.9047619047619048,0.759375,0.8571428571428571,0.28214285714285714,0.7178571428571429,0.14285714285714285,0.8549783549783551,0.8571428571428571,0.8503401360544218,0.759375,0.001,0.0,0.0,0.0,6109.0,31866.0,6796.0,'Number of leaves: 4\nSize of the tree: 6\n',6.0,4.0,4.0,?,?,?
breast-cancer,2,10,weka.classifiers.trees.J48,'-C 0.25 -M 5',-217733168393644444,2.01911272347E7,258.0,28.0,19.0,9.0,0.0,67.85714285714286,32.142857142857146,0.0,0.1126760563380283,0.4049380466472302,0.5057025101441781,97.7436664320901,111.88609346843948,24.187188209924816,3240.059696384484,-3215.8725081745592,0.8638281503544577,115.71641772801729,-114.85258957766283,0.1790161000959788,0.0063934321462849565,20.312940965604856,0.85,17.0,0.75,6.0,0.25,2.0,0.15,3.0,0.7391304347826086,0.85,0.7906976744186046,0.590625,0.6785714285714286,0.5785714285714285,0.42142857142857143,0.32142857142857145,0.6422360248447204,0.6785714285714286,0.652696141068234,0.5906250000000001,0.0,0.0,0.0,0.0,9197.0,31866.0,6796.0,'Number of leaves: 20\nSize of the tree: 24\n',24.0,20.0,20.0,?,?,?
breast-cancer,3,1,weka.classifiers.trees.J48,'-C 0.25 -M 5',-217733168393644444,2.01911272347E7,257.0,29.0,21.0,8.0,0.0,72.41379310344827,27.586206896551722,0.0,0.26582278481012656,0.38052208590253617,0.4484834417090156,89.93396435537922,96.90261801044807,25.93046867268204,24.81591670248951,1.1145519701925295,0.8941540921614496,0.8557212656030866,0.03843282655836309,2.8707845182359275,0.09899256959434233,326.98277529967226,0.9,18.0,0.6666666666666666,6.0,0.3333333333333333,3.0,0.1,2.0,0.75,0.9,0.8181818181818182,0.6361111111111111,0.7241379310344828,0.49080459770114937,0.5091954022988505,0.27586206896551724,0.7034482758620689,0.7241379310344828,0.6972682489923869,0.6361111111111112,0.001,0.0,0.0,0.0,6109.0,31757.0,6905.0,'Number of leaves: 4\nSize of the tree: 6\n',6.0,4.0,4.0,?,?,?
breast-cancer,3,2,weka.classifiers.trees.J48,'-C 0.25 -M 5',-217733168393644444,2.01911272347E7,257.0,29.0,23.0,6.0,0.0,79.3103448275862,20.689655172413794,0.0,0.40816326530612246,0.3536596613966793,0.4092654409885526,83.58520191159411,88.42888946326521,25.93046867268204,21.702060973482546,4.228407699199494,0.8941540921614496,0.7483469301200878,0.14580716204136185,5.185302016326393,0.17880351780435838,590.6066558793007,1.0,20.0,0.6666666666666666,6.0,0.3333333333333333,3.0,0.0,0.0,0.7692307692307693,1.0,0.8695652173913044,0.6694444444444444,0.7931034482758621,0.4597701149425287,0.5402298850574713,0.20689655172413793,0.8408488063660479,0.7931034482758621,0.754872563718141,0.6694444444444444,0.001,0.0,0.01,0.0,6109.0,31757.0,6905.0,'Number of leaves: 4\nSize of the tree: 6\n',6.0,4.0,4.0,?,?,?
breast-cancer,3,3,weka.classifiers.trees.J48,'-C 0.25 -M 5',-217733168393644444,2.01911272347E7,257.0,29.0,23.0,6.0,0.0,79.3103448275862,20.689655172413794,0.0,0.449367088607595,0.35636606541746046,0.41201873740155465,84.22484321430296,89.02378685693928,25.93046867268204,21.901263834111944,4.029204838570095,0.8941540921614496,0.7552159942797222,0.13893809788172742,4.776600866737345,0.16471037471508088,544.0555353365046,0.95,19.0,0.5555555555555556,5.0,0.4444444444444444,4.0,0.05,1.0,0.7916666666666666,0.95,0.8636363636363635,0.7444444444444445,0.7931034482758621,0.3986590038314176,0.6013409961685824,0.20689655172413793,0.7942528735632183,0.7931034482758621,0.7729511867442901,0.7444444444444445,0.001,0.0,0.0,0.0,6109.0,31757.0,6905.0,'Number of leaves: 4\nSize of the tree: 6\n',6.0,4.0,4.0,?,?,?
breast-cancer,3,4,weka.classifiers.trees.J48,'-C 0.25 -M 5',-217733168393644444,2.01911272347E7,257.0,29.0,16.0,13.0,0.0,55.172413793103445,44.827586206896555,0.0,-0.23606557377049195,0.43450929562377755,0.5175373764027904,102.69349652077395,111.82291703029652,25.93046867268204,31.086167073430815,-5.155698400748776,0.8941540921614496,1.0719367956355454,-0.17778270347409572,-2.160350178598491,-0.07449483374477554,-246.06420040587102,0.8,16.0,1.0,9.0,0.0,0.0,0.2,4.0,0.64,0.8,0.7111111111111111,0.6,0.5517241379310345,0.7517241379310345,0.2482758620689655,0.4482758620689655,0.44137931034482764,0.5517241379310345,0.49042145593869735,0.6,0.0,0.0,0.0,0.0,8859.0,31757.0,6905.0,'Number of leaves: 18\nSize of the tree: 22\n',22.0,18.0,18.0,?,?,?
breast-cancer,3,5,weka.classifiers.trees.J48,'-C 0.25 -M 5',-217733168393644444,2.01911272347E7,257.0,29.0,22.0,7.0,0.0,75.86206896551724,24.137931034482758,0.0,0.28268551236749095,0.37916082246809263,0.44203112386568444,89.61223843794356,95.50848294746397,25.93046867268204,24.384020166733254,1.546448505948785,0.8941540921614496,0.8408282816114915,0.0533258105499581,2.775466292218333,0.09570573421442527,316.12601545514497,1.0,20.0,0.7777777777777778,7.0,0.2222222222222222,2.0,0.0,0.0,0.7407407407407407,1.0,0.851063829787234,0.5333333333333333,0.7586206896551724,0.5363984674329502,0.46360153256704983,0.2413793103448276,0.8212005108556832,0.7586206896551724,0.6997932368438605,0.5333333333333333,0.0,0.0,0.0,0.0,6109.0,31757.0,6905.0,'Number of leaves: 4\nSize of the tree: 6\n',6.0,4.0,4.0,?,?,?
breast-cancer,3,6,weka.classifiers.trees.J48,'-C 0.25 -M 5',-217733168393644444,2.01911272347E7,257.0,29.0,23.0,6.0,0.0,79.3103448275862,20.689655172413794,0.0,0.3873239436619719,0.3664480499206069,0.42167489105388606,89.18960800238753,94.19473337284691,24.707458963264745,22.718484535591372,1.988974427673373,0.8519813435608533,0.783396018468668,0.06858532509218528,2.699945984053877,0.09310158565703025,305.87280815184556,0.9523809523809523,20.0,0.625,5.0,0.375,3.0,0.047619047619047616,1.0,0.8,0.9523809523809523,0.8695652173913043,0.5892857142857143,0.7931034482758621,0.4657224958949097,0.5342775041050903,0.20689655172413793,0.7862068965517242,0.7931034482758621,0.767616191904048,0.5892857142857143,0.001,0.0,0.0,0.0,6109.0,31757.0,6905.0,'Number of leaves: 4\nSize of the tree: 6\n',6.0,4.0,4.0,?,?,?
breast-cancer,3,7,weka.classifiers.trees.J48,'-C 0.25 -M 5',-217733168393644444,2.01911272347E7,258.0,28.0,21.0,7.0,0.0,75.0,25.0,0.0,0.2461538461538461,0.37260937280052187,0.43795513520421353,89.94019343460867,96.89706538824825,24.187188209924837,23.150544860278814,1.036643349646024,0.8638281503544585,0.8268051735813862,0.03702297677307228,2.570314530226514,0.09179694750808978,291.6533612760809,0.95,19.0,0.75,6.0,0.25,2.0,0.05,1.0,0.76,0.95,0.8444444444444444,0.5625,0.75,0.55,0.45,0.25,0.7333333333333333,0.75,0.7070707070707071,0.5625,0.0,0.0,0.0,0.0,6109.0,31866.0,6796.0,'Number of leaves: 4\nSize of the tree: 6\n',6.0,4.0,4.0,?,?,?
breast-cancer,3,8,weka.classifiers.trees.J48,'-C 0.25 -M 5',-217733168393644444,2.01911272347E7,258.0,28.0,21.0,7.0,0.0,75.0,25.0,0.0,0.2461538461538461,0.34730075348054734,0.4391184771784875,83.83121635737345,97.15445344992165,24.187188209924837,1093.7373035221658,-1069.550115312241,0.8638281503544585,39.062046554363064,-38.19821840400861,4.245620068024426,0.1516292881437295,481.75013173636137,0.95,19.0,0.75,6.0,0.25,2.0,0.05,1.0,0.76,0.95,0.8444444444444444,0.61875,0.75,0.55,0.45,0.25,0.7333333333333333,0.75,0.7070707070707071,0.61875,0.0,0.0,0.0,0.0,7968.0,31866.0,6796.0,'Number of leaves: 15\nSize of the tree: 17\n',17.0,15.0,15.0,?,?,?
breast-cancer,3,9,weka.classifiers.trees.J48,'-C 0.25 -M 5',-217733168393644444,2.01911272347E7,258.0,28.0,19.0,9.0,0.0,67.85714285714286,32.142857142857146,0.0,0.1126760563380283,0.3929307805596463,0.47000629932305255,94.84536082474214,103.98834825206141,24.187188209924837,25.592116681489035,-1.4049284715641974,0.8638281503544585,0.9140041671960369,-0.05017601684157848,0.6364735947306277,0.02273119981180813,72.2206022195652,0.85,17.0,0.75,6.0,0.25,2.0,0.15,3.0,0.7391304347826086,0.85,0.7906976744186046,0.60625,0.6785714285714286,0.5785714285714285,0.42142857142857143,0.32142857142857145,0.6422360248447204,0.6785714285714286,0.652696141068234,0.6062500000000001,0.001,0.0,0.0,0.0,10042.0,31866.0,6796.0,'Number of leaves: 25\nSize of the tree: 29\n',29.0,25.0,25.0,?,?,?
breast-cancer,3,10,weka.classifiers.trees.J48,'-C 0.25 -M 5',-217733168393644444,2.01911272347E7,258.0,28.0,20.0,8.0,0.0,71.42857142857143,28.571428571428573,0.0,0.0967741935483872,0.38713880189095745,0.45418489611622015,93.4472970081621,100.48788115432677,24.187188209924837,24.409826120220856,-0.22263791029601876,0.8638281503544585,0.871779504293602,-0.007951353939143526,1.4891217867918138,0.053182920956850496,168.97051678301867,0.95,19.0,0.875,7.0,0.125,1.0,0.05,1.0,0.7307692307692307,0.95,0.8260869565217392,0.553125,0.7142857142857143,0.6392857142857142,0.3607142857142857,0.2857142857142857,0.6648351648351648,0.7142857142857143,0.6472049689440995,0.553125,0.001,0.0,0.0,0.0,6109.0,31866.0,6796.0,'Number of leaves: 4\nSize of the tree: 6\n',6.0,4.0,4.0,?,?,?
